,nakasero_ii(2),kansanga,nansana_east,lubaga,nansana_west,lukuli(2),bugolobi,kyaliwajjala,seguku,kiwafu,kiwatule,civic_centre,makindye_i
nakasero_ii(2),0.000000,0.193314,0.313961,0.264078,0.392895,0.183486,0.180001,0.260395,0.214542,0.264773,0.248123,0.185733,0.208601
kansanga,0.193314,0.000000,0.381633,0.324726,0.447994,0.176924,0.143132,0.316708,0.273712,0.234031,0.271510,0.251912,0.249178
nansana_east,0.313961,0.381633,0.000000,0.231169,0.305843,0.317266,0.353529,0.214338,0.252634,0.400962,0.296449,0.244521,0.247128
lubaga,0.264078,0.324726,0.231169,0.000000,0.319769,0.288544,0.316187,0.216462,0.205966,0.341819,0.244453,0.212635,0.234741
nansana_west,0.392895,0.447994,0.305843,0.319769,0.000000,0.412059,0.435540,0.335229,0.341576,0.457755,0.410180,0.330653,0.347193
lukuli(2),0.183486,0.176924,0.317266,0.288544,0.412059,0.000000,0.152008,0.269853,0.240195,0.262842,0.261461,0.213796,0.167662
bugolobi,0.180001,0.143132,0.353529,0.316187,0.435540,0.152008,0.000000,0.295205,0.264386,0.265717,0.268996,0.231371,0.224563
kyaliwajjala,0.260395,0.316708,0.214338,0.216462,0.335229,0.269853,0.295205,0.000000,0.218274,0.354589,0.242544,0.205939,0.218103
seguku,0.214542,0.273712,0.252634,0.205966,0.341576,0.240195,0.264386,0.218274,0.000000,0.292662,0.233658,0.184996,0.206305
kiwafu,0.264773,0.234031,0.400962,0.341819,0.457755,0.262842,0.265717,0.354589,0.292662,0.000000,0.314924,0.295484,0.304918
kiwatule,0.248123,0.271510,0.296449,0.244453,0.410180,0.261461,0.268996,0.242544,0.233658,0.314924,0.000000,0.235835,0.248398
civic_centre,0.185733,0.251912,0.244521,0.212635,0.330653,0.213796,0.231371,0.205939,0.184996,0.295484,0.235835,0.000000,0.181065
makindye_i,0.208601,0.249178,0.247128,0.234741,0.347193,0.167662,0.224563,0.218103,0.206305,0.304918,0.248398,0.181065,0.000000
